Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6,Text Area 7,Text Area 8,Text Area 9,Text Area 10,Text Area 11
1,Document,,,,,,,,,Approved,BCRG Avalanche Economic Model - cadCAD Canvas,,,,,,,,,,
2,Page,,,,,,,,,,cadCAD Canvas v1.0.0,,,,,,,,,,
3,AdvancedSwimLaneBlockRotated,Flowchart Shapes/Containers,2,,,,,,,,,System State Inputs,System Inputs,State Update Logic,System States,System Metrics,,,,,
4,Swim lane,Flowchart Shapes/Containers,2,,,,,,,,,"Staking Dynamics [model.parts.staking]",Token Supply [model.parts.token_supply],Fee Dynamics (ACP-103) [model.parts.fee_dynamics],L1 Ecosystem (ACP-77) [model.parts.l1_ecosystem],Governance [model.parts.governance],,,,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,,,,,,,,,,,
6,TerminatorBlock,Flowchart Shapes/Containers,2,,,,,,,,State Update Function updating State C,,,,,,,,,,
7,Diamond,Geometric Shapes,2,,,,,,,,Policy Function (User Decision),,,,,,,,,,
8,Database,Flowchart Shapes/Containers,2,,,,,,,,State Variable C,,,,,,,,,,
9,TerminatorBlock,Flowchart Shapes/Containers,2,,,,,,,,State Update Function updating State B,,,,,,,,,,
10,Diamond,Geometric Shapes,2,,,,,,,,Policy Function (System Decision),,,,,,,,,,
11,Diamond,Geometric Shapes,2,,,,,,,,Policy Function (Environmental Process),,,,,,,,,,
12,Database,Flowchart Shapes/Containers,2,,,,,,,,State Variable B,,,,,,,,,,
13,Database,Flowchart Shapes/Containers,2,,,,,,,,State Variable X,,,,,,,,,,
14,Block,Standard,2,,,,,,,,BCRG Avalanche Economic Model - cadCAD Canvas,,,,,,,,,,
15,Diamond,Geometric Shapes,2,,,,,,,,Policy Function (User Decision),,,,,,,,,,
16,Diamond,Geometric Shapes,2,,,,,,,,Policy Function (User Decision),,,,,,,,,,
17,Diamond,Geometric Shapes,2,,,,,,,,Policy Function (System Decision),,,,,,,,,,
18,Diamond,Geometric Shapes,2,,,,,,,,Policy Function (System Decision),,,,,,,,,,
19,Diamond,Geometric Shapes,2,,,,,,,,Policy Function (Environmental Process),,,,,,,,,,
20,Diamond,Geometric Shapes,2,,,,,,,,Policy Function (Environmental Process),,,,,,,,,,
21,Block,Standard,2,,,,,,,,"Notes:
Author: BCRG Team - Blockchain Crypto Research Group
cadCAD model version: v1.0.0
Specification: Avalanche Differential Specification
Comments: Based on Milestone 3 Differential Specification
References: ACP-77, ACP-103, ACP-176",,,,,,,,,,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Metric Z,,,,,,,,,,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Metric Y,,,,,,,,,,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Metric X,,,,,,,,,,
25,Block,Standard,2,,,,,,,,System Metrics,,,,,,,,,,
26,Block,Standard,2,,,,,,,,System Logic,,,,,,,,,,
27,Diamond,Geometric Shapes,2,3:2|4:1,,,,,,,Staking Decision,,,,,,,,,,
28,Database,Flowchart Shapes/Containers,2,3:1|4:1,,,,,,,circulating_supply,,,,,,,,,,
29,Database,Flowchart Shapes/Containers,2,3:1|4:1,,,,,,,staking_apr,,,,,,,,,,
30,Database,Flowchart Shapes/Containers,2,3:1|4:1,,,,,,,OPPORTUNITY_COST,,,,,,,,,,
31,Diamond,Geometric Shapes,2,3:2|4:1,,,,,,,Validator Entry/Exit,,,,,,,,,,
32,Diamond,Geometric Shapes,2,3:2|4:1,,,,,,,Reward Distribution,,,,,,,,,,
33,TerminatorBlock,Flowchart Shapes/Containers,2,3:3|4:1,,,,,,,Update total_staked,,,,,,,,,,
34,TerminatorBlock,Flowchart Shapes/Containers,2,3:3|4:1,,,,,,,Update validator_count,,,,,,,,,,
35,TerminatorBlock,Flowchart Shapes/Containers,2,3:3|4:1,,,,,,,Update staking_apr,,,,,,,,,,
36,Database,Flowchart Shapes/Containers,2,3:4|4:1,,,,,,,total_staked,,,,,,,,,,
37,Database,Flowchart Shapes/Containers,2,3:4|4:1,,,,,,,validator_staked,,,,,,,,,,
38,Database,Flowchart Shapes/Containers,2,3:4|4:1,,,,,,,delegator_staked,,,,,,,,,,
39,Database,Flowchart Shapes/Containers,2,3:4|4:1,,,,,,,validator_count,,,,,,,,,,
40,Process,Flowchart Shapes/Containers,2,3:5|4:1,,,,,,,staking_ratio,,,,,,,,,,
41,Process,Flowchart Shapes/Containers,2,3:5|4:1,,,,,,,validator_rewards,,,,,,,,,,
42,Process,Flowchart Shapes/Containers,2,3:5|4:1,,,,,,,delegator_rewards,,,,,,,,,,
43,Database,Flowchart Shapes/Containers,2,3:1|4:2,,,,,,,total_staked,,,,,,,,,,
44,Database,Flowchart Shapes/Containers,2,3:1|4:2,,,,,,,fee_burn_rate,,,,,,,,,,
45,Database,Flowchart Shapes/Containers,2,3:1|4:2,,,,,,,l1_fee_burn_rate,,,,,,,,,,
46,Diamond,Geometric Shapes,2,3:2|4:2,,,,,,,Issuance,,,,,,,,,,
47,Diamond,Geometric Shapes,2,3:2|4:2,,,,,,,Token Unlock,,,,,,,,,,
48,TerminatorBlock,Flowchart Shapes/Containers,2,3:3|4:2,,,,,,,Update total_supply,,,,,,,,,,
49,TerminatorBlock,Flowchart Shapes/Containers,2,3:3|4:2,,,,,,,Update circulating_supply,,,,,,,,,,
50,TerminatorBlock,Flowchart Shapes/Containers,2,3:3|4:2,,,,,,,Update cumulative_burned,,,,,,,,,,
51,Database,Flowchart Shapes/Containers,2,3:4|4:2,,,,,,,total_supply,,,,,,,,,,
52,Database,Flowchart Shapes/Containers,2,3:4|4:2,,,,,,,circulating_supply,,,,,,,,,,
53,Database,Flowchart Shapes/Containers,2,3:4|4:2,,,,,,,locked_supply,,,,,,,,,,
54,Database,Flowchart Shapes/Containers,2,3:4|4:2,,,,,,,cumulative_burned,,,,,,,,,,
55,Database,Flowchart Shapes/Containers,2,3:4|4:2,,,,,,,issuance_rate,,,,,,,,,,
56,Process,Flowchart Shapes/Containers,2,3:5|4:2,,,,,,,net_inflation,,,,,,,,,,
57,Process,Flowchart Shapes/Containers,2,3:5|4:2,,,,,,,burn_ratio,,,,,,,,,,
